"Salima Salih","p"
"Salvador Saura","p"
"Samin Mehrez","p"
"Samir","p"
"Samuel Shimon","p"
"Sanja Iveković","p"
"Santi Barjau","p"
"Santiago Eraso","p"
"Santiago Subirats","p"
"Saree Makdisi","p"
"Sargon Boulus ","p"
"Saskia Bos","p"
"Sawsan Darwaza","p"
"Scheherazade Qassim Hassan","p"
"Sentkiewicz arquitectos","p"
"Serge Guilbaut","p"
"Serveis Audiovisuals Interactius","o"
"Sherief Mazma","p"
"Sherif el Azma","p"
"Shimon Ballas","p"
"Sílvia Domènech","p"
"Silvia Genovés","p"
"Simon Morse","p"
"Sinaan Antoon","p"
"Sinan Antoon","p"
"Sochaux","p"
"Sonia Hernández","p"
"Sonic Youth","p"
"Sourat Films ","p"
"SPAM","o"
"Stanlsk Media","o"
"Stephan Schmidt-Wulffen","p"
"Stephanie Black","p"
"Stephen C. Foster ","p"
"Steve McQueen","p"
"Susan G. Davis","p"
"Susan Stewart","p"
"Suzy Salamy","p"
"T.R. Uthco","p"
"Talal Refit","p"
"Taras Polataiko","p"
"Tariq Hashim","p"
"Telcipro","o"
"Teresa Navas","p"
"The Art Institute of Chicago","o"
"The Library of Congress","o"
"Thierry Bouchard, Gaston Prel, Losne","o"
"Tilbert Stegmann","o"
"Tom Zummer","p"
"Tony Chakar","p"
"Tony Gatif","p"
"Tony Oursler","p"
"toti Rovira","p"
"Tristan Barbarà","o"
"Turismo táctico","o"
"TV3","o"
"TVC","o"
"TVE","o"
"Univ. Pompeu Fabra","p"
"Universitat de Sankt Gallen per a les Ciències Económiques i Socials","o"
"UPC","o"
"urano films","o"
"Ursula Biemann","p"
"Ute Meta Bauer","p"
"Val Williams","p"
"Valeriano Bozal","p"
"Varda, A.","p"
"Verein Kunstmappe Künstler gegen die Folter (für APT)","o"
"Veronica Gerchman","p"
"VET Facilities","o"
"Vicente José Benet","p"
"Victor Burgin","p"
"Víctor Gonzàlez Martí","p"
"VideA","o"
"Videcom","o"
