"any","autor","persona/organització","Codi arxiu digital","contingut","durada","exposició","format","Idioma","notes","núm. inv.","productor","títol"
2008,"Hélène Raymond","p",,"Conferència realitzada a l’auditori de l’Institut Francès de Barcelona el 20 de maig de 2008.","01:13:16","Amb i contra el cinema. Entorn del Maig del 68","CD (àudio mp3)","castellà, francès",,443,,"Conferència a càrrec d’Hélène Raymond. Cicle amb i contra el cinema"
2008,"Jorge Blasco, Emília Capell, Constant vzw, Laurence Rassel","p, p, o, p",,"Conferència realitzada a la Sala de conferències del Museu Picasso de Barcelona el dijous 4 desembre 2008, 19.00 h.
 ","01:38:13","Jornades de treball: Active Archive","cd àudio mp3 (X2)","català, castellà i anglès","2 cd",444,,"Assajant amb l’arxiu de pràctiques artístiques i patrimonials des de les seves eines."
2008,"Jorge Blasco, Emília Capell, Constant vzw, Laurence Rassel","p, p, o, p",,"Conferència realitzada a la Sala de conferències del Museu Picasso de Barcelona el dijous 4 desembre 2008, 19.00 h.","01:38:13","Jornades de treball: Active Archive","DVD àudio","català, castellà i anglès",,445,,"Assajant amb l’arxiu de pràctiques artístiques i patrimonials des de les seves eines."
2008,"Jorge Blasco, Emília Capell, Constant vzw, Laurence Rassel","p, p, o, p",,"Conferència realitzada a la Sala de conferències del Museu Picasso de Barcelona el dijous 4 desembre 2008, 19.00 h.","01:38:13","Jornades de treball: Active Archive","DVD (x 2)","català, castellà i anglès","2 DVD",446,,"Assajant amb l’arxiu de pràctiques artístiques i patrimonials des de les seves eines."
2008,"Jorge Blasco, Emília Capell, Constant vzw, Laurence Rassel","p, p, o, p",,"Conferència realitzada a la Sala de conferències del Museu Picasso de Barcelona el dijous 4 desembre 2008, 19.00 h.","01:38:13","Jornades de treball: Active Archive","MiniDV (x 2)","català, castellà i anglès","2 MiniDV",447,,"Assajant amb l’arxiu de pràctiques artístiques i patrimonials des de les seves eines."
2008,"Jorge Blasco, Emília Capell, Constant vzw, Laurence Rassel","p, p, o, p",,"Conferència realitzada a la Sala de conferències del Museu Picasso de Barcelona el dijous 4 desembre 2008, 19.00 h.","01:38:13","Jornades de treball: Active Archive","DVD","català, castellà i anglès","còpia",448,,"Assajant amb l’arxiu de pràctiques artístiques i patrimonials des de les seves eines."
2008," Xavier Taraubella, Joaquim Molas, Marina Gustà, Laurence Rassel","p",,"Conferència realitzada a la Sala d’Actes de l’Ateneu Barcelonés el dilluns 24 de novembre de 2008, 19.30 h","00:48:35","Presentació llibre Narratives urbanes. La construcció literària de Barcelona.
Projecte Majories Urbanes","MiniDV","català","Presentat per l’Arxiu Històric de la Ciutat i la Fundació Antoni Tàpies",449,,"Narratives urbanes. La construcció literària de Barcelona.
Narrativas urbanas. La construcción literaria de Barcelona"
2008," Xavier Taraubella, Joaquim Molas, Marina Gustà, Laurence Rassel","p",,"Conferència realitzada a la Sala d’Actes de l’Ateneu Barcelonés el dilluns 24 de novembre de 2008, 19.30 h","00:48:35","Presentació llibre Narratives urbanes. La construcció literària de Barcelona.
Projecte Majories Urbanes","DVD","català","Presentat per l’Arxiu Històric de la Ciutat i la Fundació Antoni Tàpies",450,,"Narratives urbanes. La construcció literària de Barcelona.
Narrativas urbanas. La construcción literaria de Barcelona"
2008," Xavier Taraubella, Joaquim Molas, Marina Gustà, Laurence Rassel","p",,"Conferència realitzada a la Sala d’Actes de l’Ateneu Barcelonés el dilluns 24 de novembre de 2008, 19.30 h","00:48:35","Presentació llibre Narratives urbanes. La construcció literària de Barcelona.
Projecte Majories Urbanes","DVD","català","Presentat per l’Arxiu Històric de la Ciutat i la Fundació Antoni Tàpies.
Còpia",451,,"Narratives urbanes. La construcció literària de Barcelona.
Narrativas urbanas. La construcción literaria de Barcelona"
2010,"Briony Fer, Catherine de Zegher","p",,"Presentació a càrrec de Laurence Rassel, Directora de la Fundació Antoni Tàpies, i Maria-Josep Balsach, Directora de la Càtedra d’Art i Cultura Contemporanis de la Universitat de Girona.




","02:19:06","Eva Hesse. Treballs de l’estudi  ","DVD","català, castellà, anglès","Conferència realitzada a la Càtedra d’Art i Cultura Contemporanis de la Universitat de Girona, Sala de Graus de la Facultat de Lletres el 25 de maig de 2010.",452,"Fundació Antoni Tàpies i Càtedra d’Art i Cultura Contemporanis de la Universitat de Girona. ","Seminari: L’art processual i l’objecte: la repetició, l’efímer. 
1. “Sub-objects and Studiowork” (Sub-objectes i treballs de l’estudi), conferència a càrrec de Briony Fer.
2. “From Studiowork to Webwork” (Dels treballs de l’estudi a les xarxes), conferència a càrrec de Catherine de Zegher.
"
