"any","Codi arxiu digital","duració","exposició","intal.lació","núm. inventari","observacions","préstec","productor",,"qualitat","Realització",,"so","status","suport","tipus","títol"
"1982",,"00:52:00","Antoni Tàpies. Col·lecció. 2010","Espai A",752,"Avís de propera projecció en acabar cada versió.
El documental mostra el procés de realització de l’obra Gran nus, 1982, la qual pertany al fons de la Col·lecció de la Fundació i actualment és en exposició, a la vegada que inclou imatges d’Antoni Tàpies llegint fragments de textos diversos que l’artista considera significatius. Entre d’altres, Antoni Tàpies llegeix textos de J.V. Foix, Joan Brossa i, especialment, fragments d’una traducció al francès del llibre d’Eugen Herrigel Zen in der Kunst des Bogenschießens [El zen en l’art del tir amb l’arc].",,"Ina (Antenne2)","o","Bona","André S. Labarthe","p","VO en francès, subtítols (loop) català, castellà i anglès",,"DVD - Loop","Color","Antoni Tàpies, 1982 "
"1982",,"00:52:00","Antoni Tàpies. Col·lecció. 2010","Espai A",753,"Còpia amb TC
El documental mostra el procés de realització de l’obra Gran nus, 1982, la qual pertany al fons de la Col·lecció de la Fundació i actualment és en exposició, a la vegada que inclou imatges d’Antoni Tàpies llegint fragments de textos diversos que l’artista considera significatius. Entre d’altres, Antoni Tàpies llegeix textos de J.V. Foix, Joan Brossa i, especialment, fragments d’una traducció al francès del llibre d’Eugen Herrigel Zen in der Kunst des Bogenschießens [El zen en l’art del tir amb l’arc].",,"Ina (Antenne2)","o","Còpia amb TC","André S. Labarthe","p","VO (francès i català)",,"DVD","Color","Antoni Tàpies, 1982 "
"1982","105_FV6_C016_NI763","00:52:00","Antoni Tàpies. Col·lecció. 2010","Espai A",763,,"Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011","Ina (Antenne2)","o",,"André S. Labarthe","p",,,"Betacam Digital","Color","Antoni Tàpies, 1982 "
"1984",,"00:06:41",,,772,"Entrevista a l'Antoni Tàpies I imatges de la realització del cartell de tv3
© TV3",,"Jordi Muñoz, TV3.","p, o",,"Fundació Antoni Tàpies","o","V.O. en català",,"DVD (loop)","Color","Antoni Tàpies: cartell TV3"
"2008",,"00:10:00",,,777,"Fragment del documental:
Tàpies, 1990
Gregory Rood
Omnibus BBC i TVE Catalunya
Màster
Servei educatiu",,"Fundació Antoni Tàpies","o","Bona","Fundació Antoni Tàpies","o","Sí",,"DVD","Color","Antoni Tàpies. El procés creatiu"
"2001 -2009",,"00:03:55","Anna Maria Maiolino",,829,"Música: Vânia Dantas Leites
Actriu: Marilena Bibas
Veu: Verônica Gerchman",,,,"bona","Anna Maria Maiolino","p","sí. Subtítols en anglès",,"DVD Loop","color","Aos Quatro Ventos"
"2006",,"00:56:13","Arxiu F.X.: La ciutat buida",,766,"DVD danyat el so",,,,"dolenta","Pedro G. Romero","p","No",,"DVD","Color","Archivo F.X.: Laboratorio TV 01"
"2006",,,"Arxiu F.X.: La ciutat buida",,768,"DVD danyat. No es pot llegir. El conservem perquè, segons la Noemí, és la còpia màster. Pedro G. Romero no disposa de cap altre exemplar.",,,,"Dolenta.","Pedro G. Romero","p",,,"DVD","Color","Archivo F.X.: Laboratorio TV 02"
"1999","039_FV7_C016_NI462","00:31:00","Art & Language en pràctica",,462,,"Babuin, digitalització (gener 2011)",,,,"Jackson Pollock Bar","o",,"5/5","VHS","color","Art & Language in Practice"
"1999","039_FV7_C016_NI461","00:59:00","Art & Language en pràctica","performance",461,"master","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o",,"Fundació Antoni Tàpies","o","si","2/3","VHS","color","Art & Language Paints a Picture instal·lat a l'estil del Jackson Pollock Bar"
"2006",,"01:00:11",,,692,"Audioguia visita de la Col·lecció ",,"AntennaAudio, Fundació Antoni Tàpies","o, o","bona","Miquel Monfort","p","català",,"CD (àudio Mp3)",,"Audioguia"
"2006",,"01:00:12",,,693,"Audioguia visita de la Col·lecció ",,"AntennaAudio, Fundació Antoni Tàpies","o, o","bona","Miquel Monfort","p","castellà",,"CD (àudio Mp3)",,"Audioguia"
"2006",,"01:00:11",,,694,"Audioguia visita de la Col·lecció ",,"AntennaAudio, Fundació Antoni Tàpies",,"bona","Miquel Monfort","p","francès",,"CD (àudio Mp3)",,"Audioguia"
"2006",,"01:00:11","Col·lecció ",,708,"Audioguia visita de la Col·lecció ",,"AntennaAudio, Fundació Antoni Tàpies","o, o","bona","Miquel Monfort","p","anglès",,"CD (àudio Mp3)",,"Audioguia"
"2006",,"00:04:04","Registres i hàbits. Màquina de temps / imatges d’espai",,679,"Instal.lació sonora de Massimo Bartolini (28/09/2006)",,,,"bona","Massimo Bartolini, Edoardo Marraffa","p, p","sí",,"CD (QuickTime)","color","Aus Schalfes Bruder"
"2005",,"00:16:00","Representacions àrabs contemporànies. L’equació iraquiana",,683,"Passe de fotografies.
ubicació: ubicació: despatx de Miquel, arxiu RAC",,"Arab Image Foundation (Beirut)","o","bona","Murad Daguestani","p","no",,"DVD","Passe de fotografies","Baghdad / Mossul 1930 - 1940 (Col·lecció Daguestani)
Baghdad 1940 - 1950 (Col·lecció Emri Selim Lucien)
Baghdad 1945 - 1970 (Col""lecció Mahamad Muhí Aref)
Iraq 1960 (Col·lecció Hadi Abdel Saheb el Diwani)

"
"2005",,"00:06:09","Representacions àrabs contemporànies. L’equació iraquiana",,682,"Passe de fotografies.
ubicació: ubicació: despatx de Miquel, arxiu RAC",,,,"bona","Emri Selim Lucien
","p","no",,"DVD","Passe de fotografies","Baghdad 1929 - 2964
Fotògraf anònim (Col·lecció Muhamad Abdel Saheb, Abdel Ghaffur)
Iraq 1904 - 1966
Fotògraf anònim (Col·lecció Ahmad Karim Abass el Safi)
Baghdad 1940 - 1975
Emri Selim Lucien
Baghdad 1950 - 1970
Fotògraf anònim (Col·lecció Murtada Muhammad Ali Khafaji)"
"2005",,"00:05:35","Representacions àrabs contemporànies. L’equació iraquiana",,680,"Passe de fotografies.
ubicació: ubicació: despatx de Miquel, arxiu RAC",,"Arab Image Foundetion (Beirut)","o","bona","Latif Al-Ani","p","no",,"DVD","Passe de fotografies","Baghdad 1955-1963 "
