"any","Codi arxiu digital","duració","exposició","intal.lació","núm. inventari","observacions","préstec","productor",,"qualitat","Realització",,"so","status","suport","tipus","títol"
,,"01:00:00","Arquitectures del discurs",,466,"video que formava part de la contribució de Virginia Villaplana. Són cintes propietat de la FAT, comprades, poden ser utilitzades.",,"Video Data Bank (The School - The Art Institute of Chicago)","o",,"Chip Lord","p","si","1/1","VHS PAL","color","Mapping A City of Fragments v.2"
,"031_FV7_C016_NI261",,"Marcel Broodthaers. Cinéma",,261,"Video fet per Cordula Daus","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o",,"Fundació Antoni Tàpies","o",,"1/1","VHS",,"Marcel Broodthaers Cinema"
,"044_FV7_C016_NI355","00:48:00","Rainer Oldendorf","Marco",355,"còpia per a exposició","Babuin, digitalització (gener 2011)",,,,"Rainer Oldendorf","p","si","2/3","VHS PAL","color","Marco 1-5"
,"044_FV7_C016_NI357","00:55:00","Rainer Oldendorf","Marco",357,"còpia per a exposició","Babuin, digitalització (gener 2011)",,,,"Rainer Oldendorf","p","si","1/4","VHS PAL","color","Marco 6-9"
"2004",,"00:35:00","Tour-ismes. La derrota de la dissensió",,576,,"Montse Romaní 27/2/07",,,,"Javier Camarasa, Jorge Luis Marzo","p, p","sonido","1","dvd","color","Más allá de la tierra, más cerca de los sueños"
,"046_FV5_C017_NI376","00:05:41","Matt Mullican. Més detalls d’un univers imaginari",,376,"còpia feta per a premsa","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011",,,"bona",,,"si","1/1","Betacam SP S","color","Matt Mullican under Hypnosis; Matt Mullican. Shirts on/off; Matt Mullican. The Computer Project; Matt Mullican. Pattern/SPA/Lecture;   Matt Mullican. Five into One"
"1985","037_FV7_C016_NI181","01:05:00","Chris Marker","auditori (cicle de cinema)",181,"Còpia obtinguda pel cicle de cinema i s'ha quedat pels arxius de la FAT.","Babuin, digitalització (gener 2011)","Telcipro (distribuidora)","o",,"Chris Marker","p","bo","còpia 1/1","VHS","color","Mémoires pour Simone"
"1984","033_FV7_C016_NI100","00:29:00","Lygia Clark","Relaxaçao",100,"Subtítulat en català.
Vídeo passat durant l'explosició amb un monitor a la part de relaxació.
Original digital està a Manual","Babuin, digitalització (gener 2011)","Videoarte (Rio de Janeiro) ","o","bona","Mário Carneiro","p","si","còpia 1","VHS","color","Memória do corpo"
"1984","033_FV7_C016_NI105","00:30:25","Lygia Clark","Relaxaçao",105,"subtítulat en francès.
Còpia enviada amb l'exposició a PBA (Bruxelles). Retornada 13/10/98
Original digital està a Manual","Babuin, digitalització (gener 2011)","Videoarte (Rio de Janeiro)","o","bona","Mário Carneiro","p","si","còpia 4","VHS","color","Memória do corpo"
,"061_FV7_C016_NI544","00:41:53","Indivisuals",,544,"Sembla que l'àudio estigui malmès. Hi ha talls entre els reportatges.","Babuin, digitalització (gener 2011)","Mendel Art Gallery, Saskatoon","o, o","buena",,,"no","1","vhs","color","Mendel Art Gallery i Saskatoon (organizadores exposición). Imatges de montatge i exposició d'Indivisuals a Mendel Art Gallery i Saskatton."
"1973-1977",,,"Ana Mendieta","Vídeo performances",75,"còpia sobre el màster que ens va deixar CGAC Santiago. no controlada","CEDIT A LA BIBLIOTECA (16/1/2001)","Ana Mendieta","p","vídeo extret de 18 mm. mala qualitat","Ana Mendieta","p","ambiental","còpia","color","VHS Pal","Mendieta Performances. Centre Pompidou"
"1999","038_FV4_C016_NI228","00:53:43","Merce Cunningham",,228,"Cintes que van produir a la Merce Cunningham Foundation per l'exposició","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011","Merce Cunningham Foundation","o",,"Merce Cunningham Foundation","o","bo","màster","Betacam SP L","color","Merce Cunningham 50´s
Seqüència de 9 min .47 seg. repetida 6 vegades
Trackers
Beach Birds
Enter 
Ground Level Overlay
Scenario"
"1999","038_FV4_C016_NI228","00:59:23","Merce Cunningham",,229,"Cintes que van produir a la Merce Cunningham Foundation per l'exposició","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011","Merce Cunningham Foundation","o",,"Merce Cunningham Foundation","o","bo","màster","Betacam SP L","color","Merce Cunningham 60´s
Seqüència de 17 min. 45 seg. repetida 3 vegades
Crises
Story
Variations
Rainforest
Walkaround Time

"
"1999","038_FV4_C016_NI230","00:58:14","Merce Cunningham",,230,"Cintes que van produir a la Merce Cunningham Foundation per l'exposició","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011","Merce Cunningham Foundation","o",,"Merce Cunningham Foundation","o","bo","màster","Betacam SP L","color","Merce Cunningham 70´s
Seqüència de 14 min. 30 seg. repetida 4 vegades
Sounddance
Solo
Torse
Travelogue
Exchange"
"1999","038_FV4_C016_NI231","00:56:36","Merce Cunningham",,231,"Cintes que van produir a la Merce Cunningham Foundation per l'exposició","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011","Merce Cunningham Foundation","o",,"Merce Cunningham Foundation","o","bo","màster","Betacam SP L","color","Merce Cunningham 80´s
Seqüència de 14 min. 06 seg. repetida 4 vegades
Channels/Inserts
Roaratorio
Pictures
Points In Space
August Pace"
"1999","038_FV4_C016_NI232","00:51:36","Merce Cunningham",,232,"Cintes que van produir a la Merce Cunningham Foundation per l'exposició","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011","Merce Cunningham Foundation","o",,"Merce Cunningham Foundation","o","bo","màster","Betacam SP L","color","Merce Cunningham 90´s
Seqüència de 17 min. 7 seg. repetida 3 vegades
Septet
Minutiae
Antic Meet
Night Wandering
Changeling
"
"2001",,"01:29:51","Event (2009)",,732,"Sense subtítols","Biblioteca té l'original","American Masters","o","Bona","Charles Atlas","p","V.O. en anglès",,"DVD",,"Merce Cunningham. A Lifetime of Dance"
"2008, 2009",,"00:07:06","Alma Matrix. Bracha L. Ettinger i Ria Verhaeghe","Nivell 2, àrea d’Arts combinatòries",747,"Loop (en bucle)
Col·lecció de l'artista, Bruges",,"Ria Verhaeghe","p","Bona","Ria Verhaeghe","p","NO",,"DVD","Color, Loop","Milk anb Bread (Llet i pa), 2008-2009
Spinnet (Filadora), 2009"
"1983","036_FV3_C016_NI148","00:38:13'","Dan Graham","Interior design for space showing videos",148,"còpia feta de l'original que va deixar Glòria Moure
còpia passada durant l'exposició","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011",,"p, o",,"Dan Graham","p","si","còpia única","U-Matic","color, NTSC","Minor Threat"
"1999
","061_FV7_C016_NI545","00:33:00","Indivisuals",,545,,"Babuin, digitalització (gener 2011)","btv producció","o","buena","Pep Dardanyà","p","so","1","vhs","color","Miradas Secuestradas"
"2010",,"00:05:52
",,"Nivell 2 (Terrassa)",841,"Loop",,"Fundació Antoni Tàpies","o","Bona","Miquel Tàpies, Linda Valdés","p, p","V.O. en català",,"DVD Loop","Color","Mitjó, 1992-2010"
"2001; 2001; 1999; 2000; 1975
",,"01:05:00","Vídeos d’ocasió",,541,"todos los videos de este dvd forman parte de la sección Moment dentro del ciclo videos d'ocasió",,"Fundació Antoni Tàpies",,"buena","Daniel Herskowitz, Nooshin Farhid, Ximena Cuevas, Fabienne Audéoud Audéoud, T.R. Uthco, Ant Farm","p, p, p, p, p, o","con y sin sonido","1","dvd","color y blanco y negros","MOMENTS: mother with daughhter at kitchen table(2001), she wants me to go to heaven (2001), Contemporary artist (1999), She prepared the staging of her own death (2000); The eternal frame (1975)"
"1977",,"00:02:00","El somni del públic: Theresa Hak Kyung  Cha","Monologue",612,,,,,"buena","Theresa Hak Kyung Cha","p","voz de la artista","1","cd audio",,"Monologue"
"1975",,"00:07:40","El somni del públic: Theresa Hak Kyung  Cha","Mouth-to-mouth",604,,,,,,"Theresa Hak Kyung Cha","p","sonido","1","dvd","blanco y negro","Mouth to mouth (boca a boca)."
"23 oct, 20 nov, 18 des 2010 i 15 gen 2011",,"03:35:40                           ","Anna Maria Maiolino","Nivell -2",843,"Ballarins: 1. Morgan Reid, Amélie Ségarra, Mª Pilar Sospreda. 2. Eulàlia Bergada, Margherita Bergamo, Àngela Boix, Juan Carlo Castillo, Albert Garcia, Laura Gutiérrez, Juliette Louste, Karolina Rychlik. 3. Simona Argentieri, Zoe Desquènes, Albert Garcia, Laura Gutiérrez, Juliette Louste, Oscar Pérez. 4. Margherita Bergamo, Doe Desquènes, Albert Garcia, Laura Gutiérrez, Juliette Louste, Ángela Peris, Morgan Reid, Karolina Rychlik, Amélie Ségarra. 1. 00:57:58
2. 00:51:02
3. 00:55:50
4. 00:50:50",,"Fundació Antoni Tàpies, IT Dansa Jove Companyia de l'Institut del Teatre de Barcelona, Conservatori Superior de Dansa de l'Institut del Teatre de Barcelona ","o, o, o, ",,"Fundació Antoni Tàpies","o","ambient",,"DVD Doble capa","Color","Moviment a ""Entrevidas""
(Entre vidas)
"
"1970, 1969-70 i 1974","031_FV5_C017_NI83","00:20:13 ","Marcel Broodthaers. Cinéma","vídeo de pel.lícules per premsa",83,"Còpia amb vídeo de 3 films per premsa. 4 min 45 seg, 28 seg i 15 minuts","Babuin, digitalització (gener 2011)",,,"bona","Marcel Broodthaers","p","mut","còpia 1","Betacam SP S","color, blanc i negre i color","MTL (DTH), Défense de fumer i Figures of Wax (Jeremy Bentham)"
"1995, maig.","022_FV9_C002_NI62",,"Els límits del museu","activitat - conferència",62,,,"Fundació Antoni Tàpies","o",,"Friedrich Kittler","p",,"original 2","V.8mm.","color","Museen an der digitalen Grenze"
"1995, 17 gener.","021_FV7_C016_NI34","--","En l’esperit de Fluxus","activitat - concert",34,"còpies fetes per Estudi Fornell","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o",,"Jean-Pierre Dupuy","p","--","còpia","VHS PAL","color","Music of changes i Études australes"
"2004
",,"00:20:00","Tour-ismes. La derrota de la dissensió",,567,,"Montse Romaní 27/2/07",,,"buena","Rogelio López Cuenca","p","con sonido. Idioma castellano","1","dvd","color y blaco-negro","Nerja Once A"
"2004
",,"00:20:00","Tour-ismes. La derrota de la dissensió",,568,,"Montse Romaní 27/2/07",,,"buena","Rogelio López Cuenca","p","con sonido. Idioma castellano","1","dvd","color y blaco-negro","Nerja Once B"
"2004
",,"00:20:00","Tour-ismes. La derrota de la dissensió",,569,,"Montse Romaní 27/2/07",,,"buena","Rogelio López Cuenca","p","con sonido. Idioma castellano","1","dvd","color y blaco-negro","Nerja Once C"
,"054_FV7_C016_NI788","02:18:00","Representacions àrabs contemporànies. Beirut  / Líban",,788,,"Babuin, digitalització (gener 2011)",,,,,,,,"VHS",,"Nightfall"
"1927, 1963-66, 1961, 1967, 1970, 1985","040_FV7_C016_NI399","01:11:00","El cinema calculat","auditori",399,"cedida per Barcelona Televisió","Babuin, digitalització (gener 2011)","BTV","o",,"BTV","o","si","1/1","VHS","color","Nocions de càlcul: München-Berlin Wanderung, Lapis, Catalog, Poemfield 5, Osaka 1-2-3, Calculated Movements"
"1973",,"00:00:25'","Lygia Clark","Auditori",106,"Se li ha tret part del so","Original digital està a Manual","PLUG (Rio de Janeiro)","o","bona","Eduardo Clark","p","si","original","BETACAMP SP (extret d'un film 35 mm.)","b/n","O mundo de Lygia Clark"
"1973","033_FV2_C016_NI144","00:00:25","Lygia Clark","Auditori",144,"3 bobines","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011","PLUG (Rio de Janeiro)","o",,"Eduardo Clark","p","si","original 35 mm","35 mm","b/n","O mundo de Lygia Clark"
"1967",,"00:10:00","Marcel Broodthaers. Cinéma","Objet",87,"Còpia fet a partir d'un vídeo de M. Gilissen passat de 16 mm, gravat fins a 1 hora per a fer un sin fin per exposar. 
El film es va rodar a les sales del Palais des Beaux-Arts on estaven desmontant l'exposició Court-Circuit (12-25 abril 1967)",,"Marcel Broodthaers","p",,"Marcel Broodthaers","p",,"còpia 1","VHS (còpia de film 16 mm)","blanc i negre","Objet"
"1967","031_FV7_C016_NI131","00:10:00","Marcel Broodthaers. Cinéma","Objet",131,"Còpia fet a partir d'un vídeo de M. Gilissen passat de 16 mm, gravat fins a 1 hora per a fer un sin fin per exposar. 
El film es va rodar a les sales del Palais des Beaux-Arts on estaven desmontant l'exposició Court-Circuit (12-25 abril 1967)","Babuin, digitalització (gener 2011)","Marcel Broodthaers","p",,"Marcel Broodthaers","p",,"còpia 3","VHS (còpia de film 16 mm)","blanc i negre","Objet"
"2003, Regne Unit",,"00:53:40","Representacions àrabs contemporànies. L’equació iraquiana",,675,"Ubicació: despatx Miquel, Arxiu RAC. Curtmetartge",,"Barberprod","o","Bona","Hana Al-Bayaty","p","V.O. en francès, àrab, anglès. Subtítols en anglès",,"DVD","Documental","On Democracy in Iraq"
"1968",,"01:28:21","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",721,"14-19 de maig de 2008",,,,,"Jean-Pierre Thorn","p","V.O. Subtitulada en castellà","8","DVD b/n","Pel·lícula. PAL, 4/3. Stereo","Oser lutter, oser vaincre."
"1978",,"00:07:40","El somni del públic: Theresa Hak Kyung  Cha","Other things senn, other things heard.",609,,,,,,"Theresa Hak Kyung Cha","p","voz de la artista","1/2","cd-r áudio",,"Other things senn, other things heard."
,"036_FV7_C016_NI158",,"Dan Graham","monitor al soterrani",158,"còpia feta de l'original de Dan Graham","Babuin, digitalització (gener 2011)",,,,"Dan Graham","p",,"còpia 1/2","VHS","color","Out Door Works"
,"011_FV7_C016_NI794","00:30:00","Hélio Oiticica",,794,,"Babuin, digitalització (gener 2011)",,,,"Hélio Oiticica","p",,,"VHS",,"Parangolés - Fragments"
"1996",,"00:36:00","Renée Green. Ombres i senyals",,279,"Cinta nova no utilitzada",,,,"bona","Renée Green","p","si","3/3","VHS ","color","Partially Buried"
"1997",,"00:36:00","Renée Green. Ombres i senyals",,289,"Cinta sense subtítols",,,,"bona ","Renée Green","p","si","3/3","VHS","color","Partially Buried Continued"
"1996; 1997; 2000","042_FV4_C016_NI279d","01:55:00","Renée Green. Ombres i senyalss",,279,,"Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011",,,,"Renée Green","p","si",,"Betacam SP L","PAL","Partially Buried; Partially Buried Continued; Some Chance Operations"
"1996; 2004; 1999
",,"00:50:26","Tour-ismes. La derrota de la dissensió",,559,"2 versiones de Passagen. Una en Alemán con subtitulos al castellano y otra en aleman con subtitulos en inglés. passagen 10 min, Phantom 27 min, Dejà vu 21 min 26 sec.","NE 4/10/2006",,,,"Lisl Ponger","p","sonido"," 1","dvd","color","Passagen (1996), Phantom Fremdes Wien (2004), Dejà vu (1999)"
"1999",,"1:06:00","Zona B: als marges d’Europa",,757,"Prize of the Council of Europe, VedeiArtFestival Locarno, 2000
Prize of the German Filmcritics for experimental film/video Special mention, Marler Video-Kunst-Preis 2000
Prize for long feature videoart, Medi@terra festival Athens 1999
The video Passing Drama is based on different recollections told by refugees. ",,,,,"Angela Melitopoulos","p","V.O. grec, subtítols en anglès",,"DVD","color","Passing Drama"
"1972","036_FV3_C016_NI147","00:17:03","Dan Graham","Interior design for space showing videos",147,"còpia feta de l'original que va deixar Glòria Moure
còpia passada durant l'exposició","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011",,,"no és molt bona","Dan Graham","p","si","còpia única","U-Matic","b/n, NTSC","Past Future Split Attention"
,"046_FV7_C017_NI386","02:00:00","Matt Mullican. Més detalls d’un univers imaginari",,386,"còpia per a exposició donada per Serralves","Babuin, digitalització (gener 2011)","Fundação Serralves","o",,"Fundação Serralves","o","si","1/2","VHS","color","Pattern/SPA/lecture"
"1995","026_FV7_C016_NI417","00:13:00'","Paul Thek. El món meravellós que no va arribar a ser",,417,,"Babuin, digitalització (gener 2011)",,,"bona","Witte de With","o","si",,"VHS","color","Paul Thek. The wonderful world that almost was"
"1979",,"7 min 10 sec.","El somni del públic: Theresa Hak Kyung  Cha","Pause Still",611,,,,,"buena","Theresa Hak Kyung Cha","p","voz de la artista","1","cd audio",,"Pause Still"
,"024_FV7_C016_NI494","00:18:00","Jana Sterbak. Velleitas",,494,"No sabem localització de la performance.","Babuin, digitalització (gener 2011)",,,,,,"si, es perd a meitat de cinta","1/1","VHS","color","Performace de Comandament a distància I i II.
Remote Control"
"1975","036_FV3_C016_NI145","00:22:52","Dan Graham","Interior design for space showing videos",145,"original que es va comprar al Electronic Art Intermix, ja que la còpia del CGAC es veia molt malament. L'original tampoc és d'una qualitat excel.lent.","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011",,,,"Dan Graham","p","si","original","U-Matic","b/n, NTSC","Performance / Audience / Mirror"
"1977",,"01:43:26","Arxiu F.X.: La ciutat buida",,764,"Aquest film formava part de la instal·lació de l'exposició.",,"Modesto Pérez Redondo","p","Bona","Jose Antonio de la Loma","p","V.O en castellà",,"DVD","Color","Perros callejeros"
"2004
","068_FV7_C016_NI558","00:27:00","Tour-ismes. La derrota de la dissensió",,558,,"Babuin, digitalització (gener 2011)",,,"buena","Lisl Ponger","p","con sonido","1","vhs","color","Phantom; Foreign Vienna"
,"044_FV7_C016_NI361","00:57:00","Rainer Oldendorf","Las fotos de W. Behrle",361,"còpia  per a exposició","Babuin, digitalització (gener 2011)",,,,"Rainer Oldendorf","p","si","1/2","VHS PAL","color","Photos de W. Behrle"
"1992",,"00:05:00",,,420,"està en català, castellà i anglès.  
master: Betacam SP",,"Francesc Massip, Harmonia Carmona, Daniel Carreras","p, p, p","bona",,,"stéreo",,"VHS","color","Picnic o vol a vista de mosca"
"2002; 1974; 1976; 1976",,"01:17:11","Sanja Iveković. Alerta general. Obres 1974-2007",,668,"Original
Looped. 58'00'' + 6'00'' + 8'32'' + 4'39'",,,,"Bona","Sanja Iveković","p","sí",,"DVD",,"Pine and Fir, 2002, video 58'00'' V.O. Subtitulat en anglès +
Sweet violence, 1974, video 6'00'' V.O. sense subtítols +
Reconstructions, 1976, video 8'32'' V.O. sense subtítols +
Monument, 1976, video 4'39'' V.O. sense subtítols"
"1986, 1987","038_FV7_C016_NI268","01:23:00","Merce Cunningham",,268,"és una còpia del màster","Babuin, digitalització (gener 2011)","Merce Cunningham Dance Foundation (Nova York)","o",,,,,"2/2","VHS",,"Points in Space
The Collaborators: Cage, Cunningham, Rauschenberg"
,"010_FV3_C016_NI450","01:00:00","Krzysztof Wodiczko. Instruments, projeccions, vehicles",,450,"còpia de VHS NTSC. Imatge original defectuosa","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011",,,,,,"AUDIO CH 2",,"U-Matic","PAL","Poliscar Project"
"2004",,"01:01:16","Tour-ismes. La derrota de la dissensió",,834,"Publicat sota llicència CC By-Nc",,,,,"Marcelo Expósito","p","Castellà / anglès",,"DVD","color","Primero de Mayo (La Ciudad-Fábrica) / First of May (the City-Factory)"
,"054_FV7_C016_NI818","00:25:00 ","Representacions àrabs contemporànies. Beirut  / Líban",,818,"en loop","Babuin, digitalització (gener 2011)",,,,"Khalil Hanoun","p","V.O. en àrab, sense subtítols",,"VHS, loop",,"Pringles"
"2010",,"00:12:29","La Fundació Antoni Tàpies. Procés de reforma","Nivell 2, àrea d’Arts combinatòries",751,"Fotografies de la Fundació Antoni Tàpies: José Hevia
Fotografies d'obra construída:
José Hevia, Bleda & Rosa, H. Suzuki, Jordi Bernardó, Cayuelas, Miguel de Guzmán, Paolo Roselli.

Versió OK",,"Fundació Antoni Tàpies","o","Bona","Ábalos+Sentkiewicz arquitectos","o","NO. Crèdits en castellà i anglès",,"DVD (passi de fotografies)","Color","Proceso de reforma de la Fundació Antoni Tàpies.
Fundació Antoni Tàpies Reform process.
2008>010"
"2010",,"00:09:34","La Fundació Antoni Tàpies. Procés de reforma",,750,"Fotografies de la Fundació Antoni Tàpies: José Hevia
Fotografies d'obra construída:
H. Suzuki, Jordi Bernardó, Bleda & Rosa, Cayuelas, Miguel de Guzmán, Paolo Roselli, José Hevia.
DVD no projectat; amb errors.",,"Fundació Antoni Tàpies","o","Bona","Ábalos+Sentkiewicz arquitectos","o","NO",,"DVD (passi de fotografies)","Color","Proceso de reforma de la Fundació Antoni Tàpies.
Fundació Antoni Tàpies Reform process.
2008>2010
"
,"020_FV7_C016_NI427",,"La primera generació: dones i vídeo, 1970-1975",,427,,"Babuin, digitalització (gener 2011)",,,"dolenta","Estudi Fornell","o","si","1/1","VHS","blanc i negre","Program 1"
"1965-1967","043_FV7_C016_NI346","02:00:00","Andy Warhol: cinema, vídeo i tv",,346,"Llorenç Torrades",,,,"còpia","Fundació Antoni Tàpies","o","si","3/3","VHS","color","Program 1 Untitled Factory Diaries"
,"020_FV7_C016_NI425","02:20:23","La primera generació: dones i vídeo, 1970-1975",,425,,"Babuin, digitalització (gener 2011)",,,"dolenta","Estudi Fornell","o","si","1/1","VHS","blanc i negre","Program 2"
,"020_FV7_C016_NI423",,"La primera generació: dones i vídeo, 1970-1975",,423,,"Babuin, digitalització (gener 2011)",,,"dolenta","Estudi Fornell","o","si","1/1","VHS","blanc i negre","Program 3"
,,"01:40:00","Andy Warhol: cinema, vídeo i tv",,312,"Trabajos para televisión; The Love Boat; videoclips; Anuncios Comerciales; Video Industrial. Total dels 7 capítols: 9h",,,,"bona",,,"si","1/2","VHS","color","program 4"
,"020_FV7_C016_NI422",,"La primera generació: dones i vídeo, 1970-1975",,422,,"Babuin, digitalització (gener 2011)",,,"dolenta","Estudi Fornell","o","si","1/1","VHS","blanc i negre","Program 4"
,"020_FV7_C016_NI421",,"La primera generació: dones i vídeo, 1970-1975",,421,,"Babuin, digitalització (gener 2011)",,,"dolenta","Estudi Fornell","o","si","1/1","VHS","blanc i negre","Program 5"
"1965-1976","043_FV7_C016_NI303","01:25:00","Andy Warhol: cinema, vídeo i tv",,303,"Inclou: Untitled Factory Diaries: Interviews/Personalities","Babuin, digitalització (gener 2011)",,,"Bona","Andy Warhol","p","si","1/2","VHS","color","Programa 1"
"1973-1975","043_FV7_C016_NI305","01:46:00","Andy Warhol: cinema, vídeo i tv",,305,"Fragments que inclouen: Vivian's Girls (1973), Phoney (1973), Fight (1975) .","Babuin, digitalització (gener 2011)",,,"bona","Andy Warhol","p","si","1/1","VHS","color","Programa 2 (Unreleased Television Narratives)"
"1980-1987)","043_FV7_C016_NI306","02:12:00","Andy Warhol: cinema, vídeo i tv",,306,"Inclou: Episodis 5-1 de Andy Warhol's T.V; Andy Warhol Studio Promotional Reel; Andy Warhol Fifteen Minutes (Episodi Pilot); Fashion: The Betsey Johnson Story; Andy Warhol T.V on Saturday Night Live.","Babuin, digitalització (gener 2011)",,,"bona","Andy Warhol","p","si","1/1","VHS","color","Programa 3"
"1981-1987","043_FV4_C016_NI311","01:37:00","Andy Warhol: cinema, vídeo i tv",,311,"Inclou: Secret Spy; Movie Movie; Angeli Cadutti; Fuego; TDK Videotape Commercial; Dancing in Heaven; Hello Again; Bottega Veneta Industrial Videotape; Carlos Falchi i Nicole Miller Fashion Video Promo; True to you; Misfit.","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011",,,"bona","Varis autors","p","si","1/1","Betacam SP","color","Programa 4 "
"2010",,"00:02:06","Obrim","Entrada",761,"Projecció del programa d'activitats realitzat per la reobertura de la Fundació. MArç 2010.",,"Fundació Antoni Tàpies","o","bona","Fundació Antoni Tàpies","o","no",,"DVD","color","Programa projecció: Obrim. Antoni Tàpies. Els llocs de l’art. La Fundació Antoni Tàpies. Procés de reforma."
,"010_FV7_C016_NI797",,"Krzysztof Wodiczko. Instruments, projeccions, vehicles",,797,,"Babuin, digitalització (gener 2011)
",,,,"Krysztof Wodiczko","p",,,"VHS",,"Projections"
"1998",,"00:12:00",,,452,,,"TV3","o",,"TV3","o",,,"Betacam",,"Promo TV3: Sube, sube, Ahmed; Summer, Autum, War, Spring."
"1996-2009",,,"Alma Matrix. Bracha L. Ettinger i Ria Verhaeghe","Nivell 2, àrea d’Arts combinatòries",769,"L’artista reuneix el seu arxiu com a software. De consulta durant l'exposició a 2 terminals.
Col·lecció de l'artista, Bruges",,"Ria Verhaeghe","p","Bona","Ria Verhaeghe","p","No",,"DVD ","És software","Provisoria"
"1995","024_FV7_C016_NI415","02:10:40","Jana Sterbak. Velleitas","PSi a Slecna",415,"es repeteix varies vegades","Babuin, digitalització (gener 2011)",,,"passable","Jana Sterbak","p","si",,"VHS","color","PSI a Slecna"
"1995",,"00:08:30","Jana Sterbak. Velleitas","Psi a slecna",66,"Màster fet a BCN per FAT agafant diferents troços de PSI
 ZDF, Corinne Diserens ha fet Edició especial per FAT 1995",,"Michel Stefanowskiu ZDF (televisió alemana)","o","no molt bona","Jana Sterbak","p","ambient","màster","Betacam SP","color","PSI a Slecna."
"1995",,"00:04:00 ","Jana Sterbak. Velleitas","Psi a slecna",71,"Còpia bona per FAT enviat per Michael Stefanowski
ZDF (televisió alemana)",,"Michel Stefanowskiu, ZDF","p, o","bona","Michel Stefanowskiu, ZDF","p, o","ambient","màster","Betacam Pal","color","PSI a Slecna. (Venice-Biennale 1990 / Frankfurt TAT 1995)"
"1995",,,"Jana Sterbak. Velleitas","Psi a slecna",69,"Màster fet a Frankfurt que ens han deixat",,,,"no molt bona",,,"ambient","màster","8 m.","color","PSI a Slecna. Frankfurt 1985. Videoaficionat amic Jana"
"1999 -2000",,"00:05:00","Anna Maria Maiolino",,828,,,"Veronica Gerchman","p","bona","Anna Maria Maiolino","p","sí",,"DVD Loop","color","Quaquaraquaqua"
"1963-1985
x",,"01:04:00","Entusiasme","Love",617,,,"Neil Cummings, Marysia Lewandowska","p, p","buena",,,"con sonido, idioma polaco.","1","dvd","color","R. Wawrynowicz, J. Jaskólski Narodziny cztowieka [Nacimiento del hombre], 1963; K. & J. Czoska, Ewa y maz [Eva y su marido], 1968/1969; 
T. Wudzki, Anatomia [Anatomía], 1974; 
P. Majdrowicz, Nieporozumienie [Malentendido], 1978; 
M. Koim, Romanza ludzika [Flirteo], 1963; 
Z. Zinczuk, Funkcja [Función], 1981; F. Dzida, Przez lustro [A través del espejo], 1985.












"
"2000","044_FV7_C017_NI502","00:01:00","Rainer Oldendorf",,502,"video promocional de l'exposició","Babuin, digitalització (gener 2011)","CCCB","o","bona","CCCB","o","si","1/1","VHS","color","R.O."
"2000","044_FV7_C017_NI503","00:03:34","Rainer Oldendorf",,503,"video promocional de l'exposició","Babuin, digitalització (gener 2011)","canalMetro","o","bona","canalMetro","o","si","1/1","VHS","color","R.O."
"2005",,"00:41:00","Zona B: als marges d’Europa","Nivell 3",654,"Original",,,,"Bona","VideA","o","V.O. sub. en castellà","Ankara- VideA 02/03","MiniDV","Color","Raw footage: t[here]/ [t]here - Gökceada (Imroz)"
"2005",,"00:45:14","Zona B: als marges d’Europa","Nivell 3",655,"Original",,,,"Bona","VideA","o","V.O. sub. en castellà","Ankara- VideA 03/03","MiniDV","Color","Raw footage: t[here]/ [t]here - Hakkari"
"2005",,"00:48:53","Zona B: als marges d’Europa","Nivell 3",653,"Original",,,,"Bona","VideA","o","V.O. sub. en castellà","Ankara- VideA 01/03","MiniDV","Color","Raw footage: t[here]/ [t]here - Tavsanli"
"1995, 29 gener.",,,"En l’esperit de Fluxus","activitat - concert",812,,,"Fundació Antoni Tàpies","o",,,,,,"V. 8 mm","color","Reflux orquestra - Concert Fluxus"
"1955","016_FV7_C016_NI432","00:30:34","Franz Kline: art i estructura de la identitat",,432,,"Babuin, digitalització (gener 2011)","Courtney Sale","p","bona",,,"mono",,"VHS","blanc i negre","Remembered"
"1995, 1996, 1998, 1998, 1999, 1999","048_FV7_C016_NI467","00:29:00","Victor Burgin",,467,,"Babuin, digitalització (gener 2011)",,,,"Victor Burgin","p","si","1/1","VHS PAL","color","Remémemoralien Repetition; Love Stories H2; Love Letters (hablando en húngaro); Case History (Friedrich…); Lichtung; Another Case History."
